"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"accidents";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
90;250000;738,704239036;19641,9796103;229619,32;3061,86211073;909,269022035;2;2;22;78;2;0;0;4;9;7;0;0;208;0;2;0;0;2
91;250000;12508,0403948;20307,3521271;217184,61;3714,10825299;575,37249241;2;1;7;126;3;0;0;1;2;16;0;0;170;0;2;0;0;1
92;250000;13573,4708518;29340,7954965;207085,73;3196,79056515;354,011302043;1;2;22;117;3;0;0;13;5;14;0;0;99;0;2;0;0;2
93;250000;17698,6615146;38985,9382833;193315,4;4070,39790283;1117,38065846;1;1;8;42;1;0;0;1;4;19;0;0;18;0;4;0;0;2
94;250000;26505,3140516;1469,01704103;222025,67;918,122915144;1516,39572595;3;4;27;9;1;0;0;5;4;12;0;0;16;0;2;0;0;2
95;250000;18956,6611233;14967,3956525;216075,94;295,256905331;4,95227921933;1;1;14;23;5;0;0;1;2;14;0;0;143;0;2;0;0;5
96;250000;12120,982474;29560,660127;208318,36;3493,0319267;2279,70573232;1;1;5;3;6;0;0;2;7;39;0;0;180;0;3;0;0;2
97;250000;18959,6746506;29841,3948639;201198,93;5311,24269101;1887,88496597;2;1;8;3;2;0;0;3;2;1;0;0;133;0;6;0;0;2
98;250000;21430,4132667;39776,5785142;188793,01;4700,04108641;1559,29679782;1;1;18;95;2;0;0;1;8;11;0;0;173;0;1;0;0;2
99;250000;18506,3554944;49209,2095287;182284,43;5621,07851661;1965,96351195;2;4;12;78;7;0;0;1;2;10;0;0;184;0;3;0;0;1
100;250000;18261,6194466;22505,0057138;209233,37;6278,29111343;1953,87888182;2;2;21;3;3;0;0;1;5;6;0;0;40;0;1;0;0;1
101;250000;42062,9193355;3136,63496558;204800,45;3081,80535344;676,711581548;3;1;13;3;2;0;0;1;8;6;0;0;55;0;1;0;0;1
102;250000;28605,0306253;4917,45240022;216477,52;2118,51692028;1351,81026976;2;1;12;7;3;0;0;1;5;15;0;0;44;0;5;0;0;1
103;250000;2604,98156073;4045,23985891;243349,78;3377,16299642;193,779100793;2;1;20;3;1;0;0;1;5;14;0;0;35;0;11;0;0;2
104;250000;2261,64112562;4572,32584039;243166,03;522,455911311;1039,99944821;1;1;23;78;1;0;0;2;2;10;0;0;70;0;9;0;0;1
105;250000;13417,1491799;1102,01582084;235480,83;461,431889615;995,153628931;1;1;3;129;1;0;0;7;4;4;0;0;193;0;4;0;0;1
106;250000;0;41753,4408321;208246,56;4974,17658915;942,449025339;1;1;14;42;2;0;0;3;8;7;0;0;163;0;7;0;0;1
107;250000;0;39363,8824373;210636,12;4973,27483215;229,027771159;1;1;14;5;2;0;0;8;1;2;0;0;3;0;7;0;0;3
108;250000;37873,9766534;0;212126,02;1418,59327549;348,04611939;2;1;45;7;2;0;0;1;5;21;0;0;6;0;8;0;0;1
109;250000;3466,46542105;0;246533,53;375,489020169;91,5874252991;1;3;26;76;8;0;0;1;4;8;0;0;8;0;20;0;0;1
110;250000;902,139001087;0;249097,86;49,7263483699;20,6260755557;1;1;19;6;2;0;0;1;3;1;0;0;4;0;3;0;0;2
111;250000;9084,34469178;0;240915,66;507,166145055;631,952471953;5;1;42;3;4;0;0;2;4;14;0;0;43;0;6;0;0;1
112;250000;9299,60501517;0;240700,39;742,003707833;574,173931042;2;2;16;9;1;0;0;4;6;3;0;0;23;0;6;0;0;1
113;250000;0;0;250000;358,457974964;659,438610947;2;1;34;21;2;0;0;2;1;1;0;0;9;0;3;0;0;2
114;250000;95585,8603433;12,0309387108;154402,11;0;954,635143709;2;1;21;20;4;0;0;10;1;2;0;0;15;0;7;0;0;1
115;250000;204521,119884;103,567491989;45375,31;0;218,674390393;5;1;20;19;5;0;0;2;3;2;0;0;126;0;2;0;0;3
116;250000;68,9448336444;0;249931,06;0;180,165307518;2;1;14;67;4;0;0;5;4;2;0;0;159;0;2;0;0;1
117;250000;14697,9464801;1125,54818102;234176,51;647,158024732;0;3;3;3;45;3;0;0;1;6;7;0;0;49;0;1;0;0;5
118;250000;22126,6829595;810,811175964;227062,51;1157,44026733;0;1;1;2;115;2;0;0;1;4;24;0;0;9;0;8;0;0;4
119;250000;4437,54760077;51757,7370944;193804,72;5415,72106938;0;1;2;7;92;1;0;0;1;4;11;0;0;6;0;11;0;0;2
120;250000;5866,44301802;38684,7928869;205448,76;6337,10254826;0;2;1;2;118;1;0;0;1;2;18;0;0;11;0;5;0;0;1
121;250000;25835,7778952;6214,63933644;217949,58;1082,23060977;0;1;1;21;23;2;0;0;1;3;8;0;0;131;0;6;0;0;4
122;250000;34765,4208272;11176,6175134;204057,96;1838,54281147;0;1;2;2;6;5;0;0;1;1;6;0;0;75;0;9;0;0;5
123;250000;13097,3383658;9603,4444131;227299,22;40,6096049848;0;2;2;18;18;3;0;0;1;6;4;0;0;9;0;4;0;0;6
124;250000;16583,1071996;45719,3881606;187697,5;1217,65611249;0;1;1;25;42;2;0;0;1;4;1;0;0;10;0;1;0;0;4
125;250000;15125,1194147;25946,051302;208928,83;5004,22718079;0;1;1;4;39;1;0;0;5;5;14;0;0;9;0;1;0;0;1
126;250000;32603,2239846;1507,486891;215889,29;321,390843182;0;2;1;20;6;1;0;0;3;3;8;0;0;4;0;4;0;0;1
127;250000;7219,32841285;2076,35595869;240704,32;70,5086366579;0;1;1;9;6;2;0;0;11;2;2;0;0;11;0;5;0;0;1
128;250000;326,704383225;293,60812328;249379,69;374,290551338;0;1;1;18;33;2;0;0;1;3;18;0;0;16;0;2;0;0;2
129;250000;107868,815658;7306,53859832;134824,65;789,062566138;0;2;1;30;13;3;0;0;2;2;10;0;0;4;0;1;0;0;2
130;250000;135791,919373;14,5721200038;114193,51;206,883436744;0;1;1;10;26;4;0;0;4;1;2;0;0;22;0;1;0;0;1
131;250000;47206,757377;2203,70552395;200589,54;619,999964161;0;2;5;34;3;2;0;0;2;5;10;0;0;22;0;3;0;0;4
132;250000;2601,51659368;0;247398,48;376,97299958;0;2;2;17;43;5;0;0;4;5;1;0;0;5;0;2;0;0;4
133;250000;17011,0745564;0;232988,93;231,152048685;0;1;1;45;16;1;0;0;1;2;7;0;0;25;0;3;0;0;6
134;250000;32899,608015;0;217100,39;502,633236007;0;1;1;14;50;2;0;0;1;2;15;0;0;4;0;3;0;0;3
135;250000;31068,2547061;0;218931,75;470,745381842;0;1;1;33;43;2;0;0;4;3;5;0;0;6;0;9;0;0;6
136;250000;0;0;250000;1,14205694201;0;1;1;19;53;3;0;0;8;2;17;0;0;14;0;2;0;0;5
137;250000;2778,08802422;1439,89164499;245782,02;0;0;1;2;12;24;2;0;0;23;3;3;0;0;2;0;4;0;0;4
138;250000;398,446145651;0;249601,55;0;0;3;3;26;10;2;0;0;2;6;3;0;0;39;0;5;0;0;2
139;250000;433,353116369;0;249566,65;0;0;1;1;12;140;4;0;0;3;5;1;0;0;6;0;5;0;0;4
140;250000;0,04749899974;0;249999,95;0;0;1;1;3;74;2;0;0;1;7;27;0;0;72;0;4;0;0;1
141;250000;11558,6542439;0;238441,35;0;0;2;2;2;80;5;0;0;2;4;6;0;0;72;0;6;0;0;2
142;250000;8975,98337662;0;241024,02;0;0;5;1;15;33;2;0;0;1;6;14;0;0;29;0;8;0;0;1
143;250000;620,461168724;0;249379,54;0;0;4;1;18;39;3;0;0;1;8;13;0;0;41;0;6;0;0;1
144;250000;1088,42942256;0;248911,57;0;0;39;1;2;25;2;0;0;4;3;9;0;0;212;0;6;0;0;2
145;250000;96,8133320322;0;249903,19;0;0;2;2;10;120;2;0;0;3;3;6;0;0;180;0;2;0;0;1
146;250000;146627,886845;0;103372,11;0;0;1;2;6;154;2;0;0;2;2;10;0;0;168;0;3;0;0;2
147;250000;106298,68153;0;143701,32;0;0;2;1;14;30;5;0;0;2;5;2;0;0;293;0;3;0;0;1
148;250000;567,229571297;0;249432,77;0;0;1;2;7;6;6;0;0;1;10;6;0;0;259;0;1;0;0;3
149;250000;0;0;250000;0;0;3;2;22;72;2;0;0;7;6;23;0;0;120;0;2;0;0;2
150;250000;0;0;250000;0;0;4;3;9;72;1;0;0;2;10;10;0;0;98;0;6;0;0;7
151;250000;0;0;250000;0;0;1;1;20;134;1;0;0;3;2;2;0;0;37;0;5;0;0;10
152;250000;29972,454308;10965,0353614;209062,51;913,630957988;1157,69089384;2;2;33;126;6;0;0;2;2;2;0;0;122;0;3;0;0;9
153;250000;4717,03616185;298,057965494;244984,91;927,382004768;453,494715009;3;1;9;53;3;0;0;3;3;1;0;0;77;0;1;0;0;4
154;250000;7596,63866841;5307,90045585;237095,46;2677,8239834;925,008372112;3;1;27;42;3;0;0;1;2;9;0;0;10;0;1;0;0;4
155;250000;152195,432247;145,426689498;97659,14;1502,41700899;469,536276227;3;3;20;14;5;0;0;2;5;4;0;0;8;0;6;0;0;1
156;250000;175265,003875;590,051837214;74144,94;216,416907266;86,0794143612;2;1;14;51;1;0;0;1;4;1;0;0;83;0;4;0;0;3
157;250000;121784,755812;23152,9831601;105062,26;2482,46665306;335,148610532;2;1;22;40;1;0;0;1;1;1;0;0;131;0;3;0;0;2
158;250000;15518,1251837;79150,2810619;155331,59;3408,80463551;1677,25480549;1;3;34;93;2;0;0;1;2;8;0;0;169;0;4;0;0;1
159;250000;9270,24840521;60006,1692334;180723,58;2950,91166329;1428,51681928;1;1;14;112;3;0;0;4;2;10;0;0;128;0;5;0;0;1
160;250000;18788,3806209;43365,4428304;187846,18;5617,56301333;1776,02407475;1;3;36;105;10;0;0;2;6;9;0;0;71;0;2;0;0;1
161;250000;13142,8181648;43278,1019136;193579,08;4690,81263296;2152,24025872;3;1;3;82;6;0;0;3;4;1;0;0;97;0;8;0;0;1
162;250000;19792,3961944;47897,5336906;182310,07;5538,84043086;1929,0055856;3;1;6;50;8;0;0;1;3;1;0;0;85;0;2;0;0;2
163;250000;34125,9913216;1912,68092839;213961,33;3358,70257268;1342,11643908;1;1;13;81;2;0;0;4;12;8;0;0;150;0;7;0;0;3
164;250000;60560,5355019;5570,42550043;183869,04;1510,17375174;1246,0029103;2;1;16;75;1;0;0;2;2;1;0;0;101;0;5;0;0;3
165;250000;29899,1126149;10853,4316415;209247,46;2657,74987158;670,884220719;1;1;17;211;1;0;0;2;2;3;0;0;216;0;10;0;0;3
166;250000;44287,6159306;68431,1926011;137281,19;2456,90664513;386,339597679;2;1;3;47;3;0;0;1;3;2;0;0;165;0;8;0;0;2
167;250000;1203,45742947;30182,3013933;218614,24;1855,37294966;535,242077357;1;1;6;3;3;0;0;1;2;1;0;0;63;0;3;0;0;1
168;250000;344,568397717;3579,11478039;246076,32;1318,31359114;99,4273663681;1;1;3;131;1;0;0;1;2;2;0;0;270;0;8;0;0;4
169;250000;1730,26485185;1198,10830935;247071,63;760,558813682;304,71443837;1;0;5;86;1;0;0;2;3;1;0;0;195;0;2;0;0;4
170;250000;23013,2767314;9163,86731266;217822,86;511,381422876;290,753227051;1;0;6;6;4;0;0;1;4;2;0;0;250;0;7;0;0;5
171;250000;21215,0424855;5300,98385123;223483,97;3633,72446414;757,983893522;1;0;5;3;3;0;0;2;4;4;0;0;110;0;4;0;0;3
172;250000;19961,3787788;10190,5424378;219848,08;2823,144357;924,571617738;2;0;2;42;1;0;0;3;4;3;0;0;130;0;4;0;0;3
173;250000;28640,5404818;7771,14444073;213588,32;3255,51638639;946,849693544;1;0;6;120;1;0;0;1;6;6;0;0;32;0;6;0;0;1
174;250000;2652,22181276;2475,18186086;244872,6;3003,63263581;518,979044408;3;0;8;131;1;0;0;2;3;23;0;0;170;0;5;0;0;2
175;250000;15257,0917524;21715,5318648;213027,38;4624,12631419;883,023074911;1;0;11;82;3;0;0;1;5;1;0;0;161;0;3;0;0;1
176;250000;58100,6603788;21961,0232976;169938,32;2773,07511324;1343,16640013;1;0;8;270;1;0;0;4;6;4;0;0;37;0;9;0;0;1
177;250000;4240,90069759;31100,0694225;214659,03;4350,55753107;1001,94172057;1;0;34;216;1;0;0;2;2;7;0;0;13;0;8;0;0;3
178;250000;10590,3449298;9324,57260588;230085,08;3853,99650614;933,166764169;3;0;37;120;7;0;0;1;4;4;0;0;203;0;5;0;0;3
179;250000;6756,643855;65404,7088032;177838,65;3697,42851524;1867,92980968;1;0;17;62;4;0;0;2;3;3;0;0;175;0;3;0;0;3
180;250000;12783,6896306;1243,7474057;235972,56;2597,08025234;1421,91463257;9;0;6;98;3;0;0;1;2;3;0;0;203;0;1;0;0;1
