"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"accidents";"frequency";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
98;40000;2711,4211837;15983,2483484;21305,33;311,504410701;0;5;1;2;16;1;0;1;1;1;1;2;0;3;0;4;1;0;2
99;40000;0;8659,77742123;31340,22;915,241813757;0;10;1;5;10;3;0;1;1;3;11;1;0;11;0;1;0;0;1
100;40000;0;7299,23549203;32700,76;681,406246479;0;5;1;5;13;2;0;1;2;1;9;1;0;3;0;1;0;0;1
101;40000;0;7974,82516639;32025,17;1044,82719311;0;22;1;3;4;1;0;1;1;1;9;1;0;9;0;1;0;0;1
102;40000;0;26526,1236428;13473,88;439,575466559;0;12;1;6;15;2;0;1;1;1;4;3;0;3;0;1;0;0;2
103;40000;0;6736,92115239;33263,08;865,795182591;0;2;1;6;7;1;0;1;1;2;2;2;0;5;0;5;0;0;2
104;40000;0;6324,97609813;33675,02;779,666490382;0;13;1;8;6;2;0;1;1;2;7;1;0;3;0;1;0;0;1
105;40000;0;7241,5497719;32758,45;906,553347642;0;1;1;4;7;3;0;1;4;3;3;1;0;7;0;1;0;0;1
106;40000;0;5407,23872078;34592,76;1069,34787043;0;2;1;2;14;2;0;1;1;1;6;1;0;6;0;1;0;0;2
107;40000;0;8687,42691953;31312,57;529,802710172;0;4;2;8;11;1;0;1;1;2;2;1;0;3;0;1;0;0;1
108;40000;0;9668,0423488;30331,96;629,13675309;0;6;2;3;22;1;0;1;1;1;1;1;0;4;0;1;0;0;1
109;40000;3072,82867803;0;36927,17;243,714454801;0;6;2;3;10;1;0;0;1;2;16;7;0;6;0;2;0;0;1
110;40000;7911,63865583;0;32088,36;211,067563917;0;6;1;3;15;2;0;0;1;1;7;6;0;2;0;2;0;0;2
111;40000;4499,88597494;0;35500,11;130,372959065;0;1;1;2;27;1;0;0;2;1;3;4;0;3;0;1;0;0;1
112;40000;1787,9341587;0;38212,07;175,899587749;0;1;1;8;6;1;0;0;2;1;6;2;0;7;0;2;0;0;2
113;40000;4582,58776713;0;35417,41;108,277263424;0;4;1;8;3;1;0;0;2;2;3;2;0;9;0;1;0;0;1
114;40000;1348,67609047;0;38651,32;17,148349978;0;10;1;2;7;1;0;0;1;2;2;1;0;5;0;1;0;0;1
115;40000;9962,08950174;0;30037,91;609,765703416;0;2;1;2;4;1;0;0;1;1;4;4;0;2;0;1;0;0;1
116;40000;1252,83887792;0;38747,16;359,824649603;0;1;1;11;27;1;0;0;1;1;4;1;0;6;0;1;0;0;1
117;40000;4964,9846151;0;35035,02;651,889867258;0;11;1;17;3;1;0;0;2;2;1;8;0;20;0;1;0;0;1
118;40000;1837,334583;0;38162,67;215,544979296;0;3;1;14;3;2;0;0;2;1;6;1;0;9;0;3;0;0;1
119;40000;40,6295736108;0;39959,37;12,9005053465;0;1;1;5;9;1;0;0;2;2;7;1;0;20;0;1;0;0;1
120;40000;143,201584152;0;39856,8;311,47290402;0;1;1;3;13;1;0;0;7;2;3;1;0;22;0;1;0;0;1
